Municipality,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
ANDOVER,0.028083526113,0.0319296271936,0.0223411629229,0.0193478863923,0.0159874031177,0.0167663431906,0.0167914983398,0.0146289377149,0.0150739658449,0.0135467030462,0.0126824364437,0.0116469876101,0.0108692857982,0.00905884699005
ANSONIA,0.0481643053907,0.039313420337,0.0380261878654,0.02708059221,0.024096806655,0.0203518998509,0.0177452569318,0.0169934396487,0.0163330044018,0.0146458511847,0.0125848977235,0.0111107383342,0.00931192036469,0.00649993892464
ASHFORD,0.0308294534585,0.0395034917651,0.0371941218464,0.0299273384996,0.0241391946968,0.0186243087373,0.0156235563235,0.015097806787,0.0140993575575,0.0139478600361,0.0134282395169,0.0113308429975,0.00999710403641,0.00932182907324
AVON,0.0127852906041,0.0115770546144,0.00912140938599,0.00836885997028,0.00577467901819,0.00480480664414,0.00392850183346,0.00306665184416,0.00982024990012,0.00907441045588,0.00827725417645,0.00931909606515,0.00850204460152,0.00762178096808
BARKHAMSTED,0.0132936952844,0.0110340516788,0.00928746965964,0.00794429585689,0.00551854849951,0.00523497362705,0.00451038987059,0.00377862277061,0.00354566782019,0.00312982944401,0.00636585824932,0.00628008566993,0.00607123663906,0.00927923550021
BEACON FALLS,0.0446105973684,0.0483492294151,0.0342273056094,0.0288377737802,0.0231021032975,0.0191190265918,0.0187660016195,0.0180406131164,0.0176269503356,0.0155225719975,0.0174975930357,0.0168088796807,0.0262679506464,0.0290789041906
BERLIN,0.00444438534886,0.00318182847445,0.00504983581089,0.00348361382947,0.00407362265045,0.0030861910145,0.00242206148192,0.00195988140371,0.00412833066516,0.00893856401878,0.00869038565274,0.011166671368,0.0162053885701,0.0192354328233
BETHANY,0.0162092127819,0.0145813935519,0.0123732423805,0.0200407690963,0.0217667463994,0.0211225889937,0.0205748496593,0.0197550969378,0.0204048152874,0.0201864786089,0.0207822860075,0.0189498941738,0.0168727967571,0.0156981822061
BETHEL,0.0116683118875,0.00913235356316,0.0107668387562,0.0100795057119,0.00866038217794,0.00720092874467,0.00606190427968,0.0123412212242,0.0122301646539,0.01264304044,0.0118436740138,0.011417603577,0.0109120260748,0.00976494600156
BETHLEHEM,0.0106259086309,0.01068564204,0.00759402229737,0.00667262595848,0.0050198761572,0.00402380401095,0.00361750602475,0.00251760823341,0.00214801368558,0.00179262699107,0.00130811956975,0.000966446125738,0.000420502655589,0.000128994082205
