Municipality,2011,2012,2013,2014,2015
ANDOVER,1533102.0,1943720.0,2266912.0,2415170.0,2663238.0
ANSONIA,6393685.0,6350791.0,7431490.0,9532434.0,13174667.0
ASHFORD,1340002.0,1700987.0,2022519.0,1910173.0,1625757.0
AVON,6084975.0,6610507.0,8035653.0,8687086.0,8003009.0
BARKHAMSTED,1240666.0,1454957.0,1550465.0,1434112.0,1394341.0
BEACON FALLS,822454.0,872562.0,2125229.0,3112585.0,2353095.0
BERLIN,8522461.0,9379361.0,10701294.0,9775266.0,10014792.0
BETHANY,2605003.0,2965298.0,3032874.0,3209262.0,2544030.0
BETHEL,6948439.0,9155611.0,10899766.0,13590892.0,15284996.0
BETHLEHEM,945512.0,1083137.0,1406343.0,1530936.0,1377058.0
BLOOMFIELD,10959164.0,11029758.0,14602679.0,15890648.0,15109199.0
BOLTON,571765.0,872200.0,986036.0,986359.0,1098699.0
BOZRAH,190538.0,390237.0,278172.0,412800.0,311615.0
BRANFORD,14919507.0,16033323.0,17472351.0,19324509.0,21500116.0
BRIDGEPORT,10987810.0,9147814.0,12574082.0,13045816.0,13363461.0
BRIDGEWATER,886319.0,936349.0,868510.0,1010804.0,1196085.0
BRISTOL,21444000.0,23963000.0,24149000.0,25955000.0,26605958.0
BROOKFIELD,4229362.0,5109797.0,3695461.0,4390610.0,3746890.0
BROOKLYN,1536054.0,1743865.0,2320403.0,2577795.0,1701695.0
BURLINGTON,3490784.0,4050296.0,4793278.0,4460153.0,4795990.0
CANAAN,746410.0,673284.0,597570.0,411345.0,605869.0
CANTERBURY,2133073.0,1427668.0,1838188.0,2031244.0,1621954.0
CANTON,3518488.0,5001299.0,5106180.0,5536556.0,5579884.0
CHAPLIN,688807.0,508332.0,1108402.0,973130.0,655996.0
CHESHIRE,8058459.0,8854447.0,9234697.0,9009206.0,9113228.0
CHESTER,1415711.0,1339548.0,1899027.0,1984024.0,1724338.0
CLINTON,7350305.0,7175011.0,7169418.0,7012593.0,6511826.0
COLCHESTER,3518813.0,4334548.0,4758733.0,4888372.0,5255366.0
COLEBROOK,1005136.0,957340.0,1209117.0,1377356.0,1462702.0
COLUMBIA,3087112.0,3794648.0,2779947.0,2986914.0,3467432.0
CORNWALL,1586838.0,1504249.0,1505805.0,1485187.0,1449442.0
COVENTRY,2788992.0,3200062.0,3666097.0,4199209.0,4257666.0
CROMWELL,4242189.0,4834817.0,6539226.0,7634146.0,7730698.0
DANBURY,21462647.0,22140748.0,22157381.0,23862349.0,23065200.0
DARIEN,17160251.0,17007901.0,17404398.0,16482467.0,16693474.0
DEEP RIVER,174709.0,267114.0,87847.0,114796.0,390475.0
DERBY,2058919.0,1642597.0,1993243.0,2716999.0,2100570.0
DURHAM,2016414.0,1708298.0,1898716.0,2322402.0,2457783.0
EAST GRANBY,2146363.0,2619562.0,2673779.0,2812506.0,2659765.0
EAST HADDAM,3904685.0,4011990.0,4010730.0,3865022.0,4468215.0
EAST HAMPTON,4350654.0,4365605.0,4873812.0,4872509.0,5064400.0
EAST HARTFORD,12850000.0,13954000.0,13288000.0,13967000.0,15713000.0
EAST HAVEN,200800.0,437843.0,1600450.0,2551976.0,3850838.0
EAST LYME,4081921.0,4815763.0,4925156.0,4827865.0,5183376.0
EAST WINDSOR,3372712.0,5189416.0,5853623.0,7094098.0,7633103.0
EASTFORD,1014807.0,1046909.0,1245117.0,1400590.0,1511551.0
EASTON,3269780.0,3795019.0,3568300.0,4780254.0,5536960.0
ELLINGTON,2337837.0,3337577.0,4792253.0,2094065.0,1867100.0
ENFIELD,13113000.0,11784000.0,13525000.0,16041000.0,16908000.0
ESSEX,2594476.0,2578818.0,2736618.0,2913974.0,3051000.0
FAIRFIELD,13414000.0,14593000.0,17408000.0,21168000.0,24260000.0
FARMINGTON,7388642.0,8063735.0,8917875.0,9551893.0,10343295.0
FRANKLIN,263391.0,397551.0,542148.0,867655.0,729745.0
GLASTONBURY,15958589.0,15890555.0,21881949.0,25648081.0,24339992.0
GOSHEN,1425846.0,1225385.0,1378926.0,1472799.0,1799949.0
GRANBY,2372156.0,1741745.0,2226136.0,2870618.0,2586074.0
GREENWICH,7718567.0,12631251.0,21690344.0,27820397.0,25726186.0
GRISWOLD,2012749.0,1662160.0,2628824.0,3697588.0,3646888.0
GROTON,10160823.0,9421348.0,11617470.0,11442314.0,9510492.0
GROTON (City of),3070485.0,3484919.0,3899210.0,3324488.0,2718163.0
GUILFORD,3131917.0,4140712.0,5094933.0,5848752.0,6763025.0
HADDAM,2571591.0,3195092.0,3671221.0,3769261.0,4265947.0
HAMDEN,557564.0,1194991.0,1687935.0,2216205.0,3043752.0
HAMPTON,979311.0,1081996.0,988332.0,504223.0,525355.0
HARTFORD,22561000.0,25781000.0,27528000.0,13022000.0,20214000.0
HARTLAND,620555.0,838752.0,963260.0,1012836.0,1071727.0
HARWINTON,2412676.0,2821078.0,3002481.0,3119299.0,2912626.0
HEBRON,3045117.0,3084946.0,4123853.0,5210642.0,5809658.0
KENT,2540618.0,2322284.0,2195230.0,1910857.0,1909011.0
KILLINGLY,8516103.0,7414860.0,6962390.0,7095250.0,8548781.0
KILLINGWORTH,2480751.0,2884403.0,3409819.0,4012058.0,3838892.0
LEBANON,3121029.0,2788319.0,3789965.0,3985807.0,3870010.0
LEDYARD,3526873.0,3612171.0,4082361.0,4132563.0,3653673.0
LISBON,1748513.0,2033181.0,2337397.0,2283182.0,1808066.0
LITCHFIELD,3673000.0,4317000.0,5248000.0,4927000.0,4476000.0
LYME,605991.0,897262.0,960986.0,790571.0,1039952.0
MADISON,8374061.0,8665196.0,7801578.0,8801600.0,9338533.0
MANCHESTER,10053000.0,10636000.0,11823000.0,13887000.0,17820000.0
MANSFIELD,1867105.0,2241568.0,2749756.0,3246024.0,3875814.0
MARLBOROUGH,1865554.0,2207304.0,2563622.0,2311786.0,1928803.0
MERIDEN,17307887.0,16603606.0,15725159.0,16042985.0,16296211.0
MIDDLEBURY,3485468.0,3951030.0,2725306.0,3023756.0,2803151.0
MIDDLEFIELD,1293975.0,1486098.0,1610691.0,1491380.0,1501294.0
MIDDLETOWN,12772000.0,14209000.0,15055000.0,16796000.0,21826000.0
MILFORD,12841000.0,15638000.0,14945000.0,14814000.0,16336000.0
MONROE,3263399.0,3990150.0,4688184.0,5945005.0,6210066.0
MONTVILLE,3072260.0,2511215.0,7382987.0,8537150.0,8756538.0
MORRIS,1258929.0,1351964.0,1500719.0,1579622.0,1528789.0
NAUGATUCK,10229826.0,11544524.0,12675673.0,13628371.0,13729445.0
NEW BRITAIN,11663000.0,12159000.0,12595000.0,4965000.0,11277000.0
NEW CANAAN,14639863.0,16437613.0,18728822.0,21328599.0,24349923.0
NEW FAIRFIELD,7308604.0,6898747.0,6084821.0,6261088.0,5891290.0
NEW HARTFORD,3082427.0,3083829.0,3194256.0,2442778.0,1919270.0
NEW HAVEN,9827620.0,3791796.0,-8721555.0,22047.0,1726001.0
NEW LONDON,4979248.0,1262989.0,1471158.0,2119321.0,4244989.0
NEW MILFORD,11861567.0,11898850.0,14817161.0,15766768.0,17761259.0
NEWINGTON,13082000.0,14419000.0,14626000.0,15183000.0,15999000.0
NEWTOWN,7408816.0,8379750.0,9390049.0,10242495.0,10608535.0
NORFOLK,1468066.0,1187792.0,896668.0,966781.0,953717.0
NORTH BRANFORD,5372644.0,5626204.0,5355806.0,4985195.0,5971887.0
NORTH CANAAN,781989.0,799909.0,640347.0,820721.0,969569.0
NORTH HAVEN,8619912.0,7478295.0,8018349.0,8062822.0,7519929.0
NORTH STONINGTON,1329281.0,357606.0,495644.0,1536513.0,1805037.0
NORWALK,28628331.0,28531930.0,29750868.0,34613222.0,42287811.0
NORWICH,10649000.0,10371000.0,10275000.0,10483000.0,10192000.0
OLD LYME,4036527.0,4916275.0,5279040.0,6544463.0,6827652.0
OLD SAYBROOK,2660286.0,2567898.0,3376384.0,2865764.0,3513946.0
ORANGE,5997368.0,6731743.0,8607747.0,8155029.0,9415266.0
OXFORD,3467700.0,4727663.0,5627712.0,5543864.0,5233092.0
PLAINFIELD,4533712.0,6022394.0,6580247.0,6743820.0,5915560.0
PLAINVILLE,2397761.0,2970390.0,5863288.0,11165655.0,10443073.0
PLYMOUTH,1655273.0,1853353.0,2163609.0,1787337.0,
POMFRET,491367.0,599785.0,852004.0,1216812.0,1520517.0
PORTLAND,3451263.0,4309585.0,5048238.0,4939790.0,5108122.0
PRESTON,1479602.0,2264131.0,2193494.0,2801541.0,2879784.0
