Municipality,2002,2003,2004,2005,2006,2007,2008,2009,2010
ANDOVER,1335518.0,970736.0,425110.0,0.0,-284523.0,544494.0,1013848.0,1353436.0,1676718.0
ANSONIA,2981313.0,2710662.0,2746297.0,3917915.0,4508537.0,5081853.0,5725528.0,6048039.0,6311558.0
ASHFORD,971340.0,1094423.0,1295671.0,1485175.0,1767025.0,2599819.0,2228626.0,1486568.0,1617465.0
AVON,3378303.0,3845984.0,3016547.0,3557223.0,3984172.0,3515315.0,4488669.0,4789580.0,4652097.0
BARKHAMSTED,773020.0,828961.0,1271350.0,1404502.0,1374503.0,1146598.0,1481266.0,1199277.0,1315329.0
BEACON FALLS,929324.0,1790093.0,1469948.0,1772230.0,1025501.0,1211252.0,1389120.0,1277454.0,869481.0
BERLIN,4400980.0,4422615.0,4410350.0,5637646.0,6735039.0,7870925.0,7519032.0,7199724.0,7479806.0
BETHANY,1571877.0,1763192.0,1888430.0,2087043.0,2583949.0,2836258.0,2599597.0,2504212.0,2582175.0
BETHEL,4311789.0,5021438.0,5111783.0,5601331.0,5166717.0,5260264.0,5937527.0,6152022.0,6444053.0
BETHLEHEM,342537.0,426469.0,199511.0,207562.0,84677.0,342406.0,325553.0,707706.0,873670.0
BLOOMFIELD,5510428.0,528413.0,2602562.0,3404600.0,3924882.0,5105795.0,7315548.0,8084263.0,9307572.0
BOLTON,415645.0,345128.0,777025.0,213912.0,287074.0,519091.0,530271.0,429117.0,356442.0
BOZRAH,75583.0,-50093.0,-121376.0,31049.0,343427.0,997215.0,704047.0,435069.0,386174.0
BRANFORD,8801852.0,10494265.0,10188751.0,11548369.0,12636445.0,16238529.0,13701269.0,14398876.0,14513464.0
BRIDGEPORT,38571118.0,35304505.0,33004687.0,29800885.0,24686939.0,29241106.0,10605102.0,10752753.0,11611351.0
BRIDGEWATER,1469950.0,907907.0,1059278.0,1023146.0,1070603.0,1094118.0,1143210.0,1211186.0,885176.0
BRISTOL,15804000.0,13688000.0,15067000.0,16545000.0,16785000.0,17319000.0,15435000.0,17645000.0,19896000.0
BROOKFIELD,3647254.0,3865012.0,3558905.0,3543983.0,3828006.0,4083405.0,2143690.0,1877650.0,4327757.0
BROOKLYN,1102469.0,1043700.0,1105853.0,383246.0,840702.0,755524.0,936090.0,1422017.0,1502999.0
BURLINGTON,1877764.0,2226064.0,2757229.0,2545201.0,2318463.0,2366537.0,2939716.0,3092634.0,3411398.0
CANAAN,823559.0,752914.0,611073.0,442080.0,503282.0,655511.0,781177.0,805181.0,755299.0
CANTERBURY,1653754.0,1546387.0,1767582.0,1529688.0,1394847.0,1811109.0,1857490.0,2092781.0,2036031.0
CANTON,1337995.0,1439400.0,1466586.0,1999341.0,2708234.0,3620206.0,4300542.0,4904650.0,4513459.0
CHAPLIN,256491.0,242008.0,398752.0,673548.0,623234.0,658990.0,645774.0,598465.0,598112.0
CHESHIRE,4192189.0,4594430.0,4709237.0,5049348.0,6642038.0,8437809.0,8532540.0,8519221.0,8474930.0
CHESTER,1209478.0,1227046.0,1112614.0,1080157.0,1321522.0,1514522.0,1575450.0,1348127.0,1399582.0
CLINTON,6512514.0,5823100.0,5513896.0,4869995.0,4839786.0,4991505.0,6128661.0,5148562.0,6178949.0
COLCHESTER,2696129.0,3768767.0,3510200.0,3507795.0,4283472.0,4129805.0,3950819.0,3470913.0,2974475.0
COLEBROOK,810529.0,880074.0,1196699.0,1302127.0,1539072.0,1441932.0,1153772.0,1157276.0,1149640.0
COLUMBIA,2086825.0,1438396.0,1152333.0,1679847.0,2661858.0,924436.0,950322.0,990147.0,1953256.0
CORNWALL,932153.0,813208.0,763127.0,986723.0,1194416.0,1258323.0,1143619.0,973207.0,961606.0
COVENTRY,1622341.0,1348239.0,1165837.0,1261969.0,1866861.0,2096940.0,2346413.0,2297133.0,2669427.0
CROMWELL,2602655.0,2440268.0,1920844.0,2847385.0,2853169.0,3628468.0,4760978.0,4570651.0,3970913.0
DANBURY,11406086.0,11216189.0,11761929.0,18228923.0,22959075.0,21403829.0,21776017.0,20919615.0,21250848.0
DARIEN,6878591.0,6535548.0,6398326.0,9883969.0,13390723.0,15679674.0,16310387.0,14898943.0,15544996.0
DEEP RIVER,-502190.0,512205.0,1012793.0,1126540.0,815967.0,593900.0,603439.0,339231.0,411510.0
DERBY,2319617.0,2559227.0,1797587.0,4065387.0,3695628.0,2183008.0,3062480.0,1528421.0,2185140.0
DURHAM,2157284.0,2072332.0,135938.0,1930791.0,2146763.0,2633400.0,2841241.0,2439371.0,2150457.0
EAST GRANBY,1135924.0,1429493.0,1555191.0,1408501.0,1350436.0,1538727.0,2158320.0,2072101.0,2363733.0
EAST HADDAM,2699343.0,2759821.0,3226727.0,4397639.0,4575703.0,5079933.0,5996050.0,4946914.0,4402104.0
EAST HAMPTON,1534623.0,1612606.0,2302647.0,3294342.0,3388800.0,3942876.0,4569543.0,4592586.0,4083407.0
EAST HARTFORD,5007000.0,6137000.0,7908000.0,11006000.0,11428000.0,14817000.0,14342000.0,12699000.0,12038000.0
EAST HAVEN,3963151.0,4727514.0,2797453.0,2952501.0,4445562.0,4091026.0,153656.0,-2785008.0,-5197136.0
EAST LYME,2873823.0,3351776.0,4500790.0,3969783.0,4516825.0,4062311.0,3382706.0,3476876.0,3803012.0
EAST WINDSOR,3172817.0,2830141.0,2344812.0,2982483.0,3442968.0,4598588.0,4708263.0,1854712.0,2886362.0
EASTFORD,506163.0,318987.0,308274.0,413852.0,570152.0,771362.0,797958.0,772680.0,1074042.0
EASTON,1967197.0,2069189.0,2784192.0,3531986.0,4221565.0,4794464.0,4898593.0,3685291.0,3619684.0
ELLINGTON,1131651.0,1692319.0,1237095.0,590175.0,1192344.0,1933797.0,3537416.0,2328160.0,3165708.0
ENFIELD,7570932.0,5890256.0,8794399.0,10700000.0,10602000.0,10945000.0,12978000.0,12734000.0,11527000.0
ESSEX,560083.0,919659.0,1221074.0,1252998.0,1540299.0,2123159.0,2531091.0,2295819.0,2351815.0
FAIRFIELD,8459000.0,7832000.0,6352000.0,6048000.0,6793000.0,8472000.0,9049000.0,10263000.0,12286000.0
FARMINGTON,7171059.0,6243008.0,5847397.0,6114247.0,7286943.0,7695726.0,7550291.0,7023480.0,7465752.0
FRANKLIN,681086.0,468752.0,287587.0,347200.0,520890.0,647395.0,292151.0,389177.0,494483.0
GLASTONBURY,5671139.0,6758389.0,7936360.0,9248348.0,13092684.0,14378194.0,15558173.0,16906721.0,15803034.0
GOSHEN,709365.0,360431.0,620869.0,982572.0,1486578.0,1921259.0,1823817.0,1502742.0,1477526.0
GRANBY,2333940.0,2166857.0,1962828.0,3213529.0,2987495.0,3625333.0,3521654.0,3157904.0,2434267.0
GREENWICH,6954750.0,10800031.0,12417195.0,7796376.0,-15204828.0,-43443133.0,-30231914.0,-25547192.0,-2633255.0
GRISWOLD,2240206.0,1289976.0,1777097.0,2446354.0,4527763.0,4348412.0,5381998.0,4483359.0,3352368.0
GROTON,5046766.0,4890837.0,8566229.0,8556581.0,9157831.0,9036656.0,10412092.0,10489614.0,8829424.0
GROTON (City of),1585748.0,1981938.0,2170544.0,2157856.0,2808146.0,2769282.0,3150154.0,4927755.0,3874650.0
GUILFORD,3423156.0,3597557.0,3525813.0,3174823.0,3269123.0,2650066.0,2559193.0,2234701.0,2424381.0
HADDAM,1449095.0,2069881.0,1645448.0,1741047.0,2298878.0,2954729.0,3448083.0,2199680.0,2024803.0
HAMDEN,5036945.0,4196006.0,3344221.0,6310582.0,6723161.0,6951521.0,7744188.0,6524769.0,574675.0
HAMPTON,367441.0,427276.0,484705.0,908632.0,1030849.0,1205853.0,692686.0,893784.0,925099.0
HARTFORD,22813000.0,20440000.0,20393000.0,30476000.0,32969000.0,34467000.0,27900000.0,16218000.0,18500000.0
HARTLAND,0.0,257185.0,292368.0,387980.0,415363.0,473191.0,656865.0,621063.0,628455.0
HARWINTON,1693345.0,1742378.0,2121835.0,1393290.0,1959947.0,2597787.0,2811022.0,2491708.0,2387179.0
HEBRON,2505442.0,2188320.0,3346590.0,3271636.0,3720080.0,2597544.0,3611443.0,3166328.0,3213048.0
