Municipality,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
ANDOVER,0.291492941451,0.273381012348,0.275906544038,0.297230977133,0.285037241439,0.234492445597,0.338902326498,0.261485188807,0.234091513604,0.244637425727,0.271313446119,0.26815470226,0.272650901084,0.273475585623
ANSONIA,0.469745175697,0.439185728582,0.444651860607,0.462929605811,0.465956114343,0.456172959362,0.516864839142,0.452213063509,0.457958806072,0.456481350074,0.444020995262,0.4568920473,0.420332767491,0.4182224047
ASHFORD,0.384464657301,0.380660882683,0.356950483733,0.3352797568,0.34643968487,0.345713088315,0.430597611774,0.358649508482,0.363561855805,0.350866932943,0.355038502233,0.339118901049,0.340772129159,0.335084973598
AVON,0.0661276634693,0.0581297822284,0.0525322762976,0.0536320697182,0.0713082918554,0.0683927912839,0.230412911592,0.0827400727016,0.0799999111974,0.0780773262021,0.132213596206,0.104641583027,0.121833038313,0.110742916281
BARKHAMSTED,0.224287044104,0.205168933584,0.184362648862,0.176183025592,0.181969854917,0.172646238037,0.263071574374,0.20476588968,0.198311852618,0.195555995647,0.198199721206,0.199186995525,0.193075013603,0.187303394591
BEACON FALLS,0.303493284083,0.268945820261,0.274373434287,0.263718680814,0.261958698027,0.254769888505,0.265987905178,0.251819595757,0.249690699581,0.211231575934,0.235532473878,0.227004364287,0.229703726622,0.218617783979
BERLIN,0.147259929861,0.145710994896,0.140134699921,0.133318334414,0.149358972485,0.144980141333,0.287064337757,0.172704569145,0.167084489299,0.161521090506,0.177091201535,0.167764283578,0.168204529337,0.154246475478
BETHANY,0.154117336216,0.142442219742,0.134677350671,0.140298205349,0.120642796036,0.116426189435,0.147249313488,0.155405849366,0.157606917975,0.147032971103,0.15155501161,0.155827432998,0.152659028242,0.144166988475
BETHEL,0.22487565646,0.20655951597,0.191143573005,0.185352302033,0.191037967863,0.182834345833,0.28002875947,0.201783626382,0.183447334807,0.178975248439,0.190711272289,0.189053341092,0.194905057479,0.179749583639
BETHLEHEM,0.188798159329,0.168088906329,0.146479976581,0.163341149128,0.155526380093,0.149909078988,0.142749198649,0.158320136982,0.129146416003,0.132429066637,0.147519198544,0.168031065283,0.162110742828,0.168740448207
BLOOMFIELD,0.135870069877,0.112479894679,0.112591397911,0.127178025721,0.142467668114,0.134005455114,0.213694332037,0.150860078997,0.138273361598,0.130618918311,0.150137306741,0.168635612912,0.136306930777,0.123821032559
BOLTON,0.279862991933,0.301163391379,0.259559119983,0.245707515182,0.248714013549,0.242470221314,0.372228824208,0.25569577904,0.245900563624,0.237209204113,0.253024314684,0.241989593451,0.236439216974,0.239958519208
BOZRAH,0.418738524606,0.369435929796,0.282583707002,0.321775676872,0.310321947584,0.310819810621,0.294607554208,0.315760016609,0.282231929064,0.286780506964,0.281203420508,0.271621185481,0.287604468663,0.25526558841
BRANFORD,0.0845837505827,0.0754278925445,0.0712047965504,0.0672978830143,0.0806506806218,0.0809326350932,0.215032458486,0.0904386914304,0.0870314028863,0.0848814980325,0.0986233203996,0.0952926862653,0.0974768436041,0.0787933112711
BRIDGEPORT,0.499032573778,0.478257226606,0.464355269209,0.446522772367,0.434733764344,0.441181819579,0.451309102909,0.442600842369,0.392037043417,0.414889873701,0.440933221822,0.434112327048,0.434943637578,0.421270986005
BRIDGEWATER,0.0271738679292,0.0327641930139,0.0314489750099,0.0300675987488,0.0312786956648,0.0272617616218,0.0287243487795,0.029915928917,0.0234302411196,0.0272183219416,0.0258075544997,0.0425294564058,0.0256707534953,0.0270222401506
BRISTOL,0.367401448365,0.350409079724,0.321415845959,0.305255198994,0.32268126907,0.322895677903,0.440047423425,0.345696544427,0.338347046212,0.329382441934,0.350910753513,0.33051003687,0.327953244708,0.324856157776
BROOKFIELD,0.0856884622453,0.0691790544638,0.0679052436547,0.06325384735,0.0793863189801,0.0816343298727,0.23864655148,0.104857609189,0.0919736900989,0.0895552097356,0.113354425356,0.106669518036,0.110186061893,0.103786561335
BROOKLYN,0.510411032526,0.498907140004,0.448852202635,0.431057739882,0.415283248908,0.400242433772,0.407850355364,0.404050346439,0.402691256706,0.426357509874,0.440050152807,0.425495038206,0.425730578502,0.419861382396
BURLINGTON,0.184059684806,0.175134885756,0.16227773663,0.15725733053,0.163001675807,0.149332130835,0.170804794924,0.159616475318,0.158415240834,0.163433089998,0.163086921777,0.157946252472,0.155661582506,0.179175531674
CANAAN,0.168140424221,0.160231321358,0.148061252699,0.150006382465,0.117972138815,0.151832507518,0.229561241284,0.138007189239,0.138091877897,0.138596255942,0.145740929009,0.14567216273,0.172988773603,0.176014203045
CANTERBURY,0.509922695155,0.483793875487,0.433130852474,0.437958291607,0.446700928331,0.439033276375,0.507912325585,0.451361391843,0.428937985664,0.420091269677,0.427347601997,0.446613066625,0.426782786566,0.420980459084
CANTON,0.161110311313,0.15413661677,0.132261438998,0.131172782554,0.148239069072,0.136105819295,0.267816813024,0.162702012681,0.155074883818,0.155877889487,0.192121531597,0.168917984064,0.171843789552,0.179731984752
CHAPLIN,0.483231381663,0.433571480859,0.376156029994,0.36848242591,0.357588429632,0.368513168278,0.357333945779,0.361169566972,0.34240505939,0.333289500659,0.333865965463,0.32471738698,0.341077843022,0.34248711291
CHESHIRE,0.209535051833,0.189355633436,0.178530178199,0.185125458383,0.203594242624,0.213705512099,0.22782090862,0.23413964562,0.215684466082,0.215352404445,0.232808100511,0.225462811619,0.229025053254,0.233764227005
CHESTER,0.215153386402,0.12518070673,0.108897188538,0.0979230917159,0.100317864967,0.0990607831119,0.108968901269,0.116314625541,0.10629355277,0.0953814264234,0.0964401505616,0.110452606317,0.108523068155,0.109866640638
CLINTON,0.249277687913,0.233060879038,0.218548778557,0.212604731639,0.229561269723,0.218711710512,0.341055353659,0.218792491006,0.213402024948,0.21070939434,0.234781290961,0.227580118247,0.230109602617,0.212467678095
COLCHESTER,0.394412168545,0.376111344526,0.362165390012,0.352452792238,0.363152507717,0.354195735077,0.37617681828,0.374735244905,0.343410118458,0.332005815585,0.35718429456,0.351424241376,0.343434019353,0.335619004138
COLEBROOK,0.133896750106,0.132412119677,0.122685283176,0.129521391256,0.140250656625,0.149892429083,0.225661711203,0.161310373578,0.153917961428,0.173861279188,0.167980871856,0.149953265031,0.160454980881,0.161007013277
COLUMBIA,0.263981448645,0.280175643926,0.243064484896,0.224235651949,0.241798822884,0.235180494674,0.365573819551,0.276113196259,0.252873672479,0.217047916132,0.249879811905,0.235195692312,0.260453350797,0.281795779402
