Municipality,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
ANDOVER,0.668821150197,0.698171229529,0.692056026794,0.669244162932,0.690946167053,0.735881672626,0.639532341549,0.723987925676,0.7572677947,0.745850894043,0.719531324673,0.717981612086,0.720552721406,0.719147761473
ANSONIA,0.449988004912,0.506102186607,0.50086258702,0.482598656868,0.4677353654,0.472560366275,0.406634972573,0.492469323247,0.498691106656,0.494674039867,0.497162080779,0.490723071702,0.510285966749,0.512532041221
ASHFORD,0.56609353155,0.577406373212,0.596653722146,0.620309432798,0.601427299863,0.599946814715,0.527626079601,0.603121255933,0.59799976795,0.621748603436,0.615890335544,0.633018096904,0.633900559134,0.637806258303
AVON,0.887847993187,0.895477179599,0.900395825816,0.894455123067,0.874164267003,0.880936907259,0.723262117571,0.883160420002,0.894615183641,0.879760425131,0.835485410733,0.85242490147,0.840054728987,0.852669373228
BARKHAMSTED,0.74829361086,0.773759797506,0.796102008396,0.800471697197,0.789812132944,0.795143507201,0.706192927952,0.775881741624,0.78734736717,0.79167245006,0.790121434385,0.788483800146,0.795949309882,0.795974896301
BEACON FALLS,0.670327475472,0.691117542167,0.710067866334,0.697863159414,0.726282161589,0.730734587886,0.710383265784,0.724304580178,0.731503458628,0.77722331621,0.740392417083,0.741251720794,0.743556400468,0.752824642819
BERLIN,0.77077067013,0.782081855471,0.792254706377,0.784849709174,0.764221758505,0.757829688742,0.640654964917,0.750408686421,0.761544876847,0.771890972103,0.762957361297,0.775394298702,0.77986542816,0.795354048755
BETHANY,0.779738265407,0.79845094911,0.801905745626,0.804104945427,0.797290366107,0.804790126842,0.79037437786,0.792368886319,0.8041961585,0.815755778151,0.81511488648,0.80966233964,0.80786942308,0.817043724087
BETHEL,0.733844052412,0.76371679211,0.778589667059,0.780961286528,0.780034717351,0.785787167248,0.698566042661,0.780810094153,0.798184961658,0.805513302783,0.792769101649,0.794808783093,0.785261940791,0.804373320176
BETHLEHEM,0.766398338184,0.800505321649,0.819432103093,0.784352741746,0.801167792122,0.80775116832,0.807386094756,0.809898692155,0.849858572011,0.848244939354,0.830210745071,0.813278154657,0.812567278447,0.808191280278
BLOOMFIELD,0.81857880259,0.837498397172,0.835140669296,0.824692990862,0.80246215708,0.794050469696,0.727300730042,0.817358713896,0.836029174984,0.845572150949,0.828366523614,0.808041868103,0.839310788728,0.853446457425
BOLTON,0.669935949064,0.676713300644,0.714255770525,0.725287006942,0.714238559088,0.71364229494,0.591426141764,0.708009838258,0.71895510363,0.7272450811,0.714299023453,0.726291661455,0.734438703097,0.734151728598
BOZRAH,0.541940206051,0.583788705742,0.678094348753,0.642889083934,0.636779198317,0.634557178144,0.657757831498,0.65223843677,0.687899898655,0.68895439032,0.694041535698,0.706770087433,0.69021529275,0.720602922975
BRANFORD,0.833151412444,0.852101964078,0.854920939416,0.8554015101,0.835378821082,0.834973733785,0.726385628009,0.84873491705,0.856873387783,0.861069687127,0.850835734652,0.841941003468,0.850411005844,0.871377983458
BRIDGEPORT,0.448477777967,0.474189631358,0.428854891673,0.466745984457,0.480105565227,0.495422037418,0.488941177941,0.513570963223,0.568794882133,0.544174260383,0.522089998073,0.530469061579,0.526503164696,0.538949151236
