Municipality,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
ANDOVER,0.954593809725,0.972351254784,0.97768333613,0.974045703857,0.971810052216,0.983747570465,0.981958162952,0.980309058519,0.992351302226,0.988826250958,0.984499157321,0.982969386831,0.9813405954,0.984701645243
ANSONIA,0.894986980522,0.894808671274,0.923524955416,0.93252925268,0.928657271679,0.929711623335,0.918719452059,0.921234720852,0.918423356705,0.912944278956,0.914689364802,0.912908366373,0.909393430468,0.935313395516
ASHFORD,0.95267417494,0.957091924338,0.955918554005,0.964741170822,0.960481991346,0.962171389007,0.953210063258,0.951859643415,0.946127292088,0.937318668985,0.937654893235,0.934940443489,0.937915618626,0.931387741156
AVON,0.993130323323,0.994821565511,0.998146209387,0.998409913926,0.99795677662,0.997279235581,0.999159833383,0.997889709054,0.997854196027,0.996942375318,0.996531202694,0.997205983906,0.996585443698,0.995130649946
BARKHAMSTED,0.957148895587,0.960131923504,0.961612095166,0.959636254205,0.963898194069,0.96361035431,0.956879424531,0.949137086895,0.948604658512,0.945761288884,0.937849348526,0.931706387243,0.929098727256,0.925941260191
BEACON FALLS,0.882185836545,0.908563413537,0.903228781064,0.912495619492,0.909923361613,0.922888495399,0.923885786697,0.94910304193,0.937501541417,0.925506721489,0.919161972639,0.917192690661,0.919879166838,0.931797546759
BERLIN,0.951017386467,0.966565124928,0.98430616992,0.979950225718,0.976826027819,0.980387332205,0.97730973106,0.970922897761,0.96705524929,0.967406995986,0.965837337387,0.969524743761,0.97253387371,0.971917326068
BETHANY,0.972315392655,0.97852412677,0.979033002659,0.978638105683,0.977943864802,0.980634390963,0.979168859497,0.981321866445,0.98526169328,0.98445991399,0.979513685496,0.979502319276,0.977501944778,0.97652595774
BETHEL,0.968428478663,0.978932721183,0.974797714294,0.975276764666,0.980795823992,0.981812857912,0.982819136616,0.980238798687,0.98183838645,0.980094802923,0.984405452162,0.983540399076,0.984636404255,0.983923124876
BETHLEHEM,0.948080429963,0.950345806103,0.966636102557,0.959551210549,0.961266002662,0.965898262102,0.960105542593,0.950443074434,0.95167039615,0.938290620001,0.942007448415,0.941540018915,0.937921034715,0.928705683565
BLOOMFIELD,0.960261955318,0.972898699888,0.964624368518,0.943197932717,0.957759112736,0.967027940944,0.968332140859,0.965789211302,0.963448432224,0.967676092654,0.978627499065,0.974197432613,0.976692326037,0.976746872627
BOLTON,0.973046425046,0.97422511348,0.975013474234,0.974765370775,0.983797287072,0.984422392096,0.982692442784,0.980876191188,0.976224630446,0.976701690368,0.980097293841,0.985517737005,0.98972555707,0.990293269162
BOZRAH,0.935410661805,0.94397484835,0.949345498402,0.942593562452,0.946277226142,0.949231098944,0.954990024705,0.948289158708,0.937695925759,0.93256543178,0.940284989781,0.93276419569,0.935843841597,0.93098206034
BRANFORD,0.931026741273,0.949760902837,0.947700701083,0.958419824804,0.963431015326,0.968925468068,0.970498001632,0.969650954536,0.963193250519,0.964256404878,0.962631087622,0.966851024433,0.964341986407,0.965215163932
BRIDGEPORT,0.758943583225,0.769566742204,0.766518516049,0.802984369547,0.827366304846,0.842634739184,0.860948906438,0.867788823933,0.885461865707,0.87551385591,0.864620183961,0.867234937925,0.859251324167,0.860760782915
BRIDGEWATER,0.968557334119,0.982855945956,0.980753727482,0.978177473081,0.982519039833,0.981372591879,0.976462924798,0.976693800904,0.982045960856,0.989741808456,0.989709046409,0.992973567292,0.996073591393,0.995505845246
BRISTOL,0.919650844772,0.927981558716,0.940657527291,0.951805911702,0.961717930709,0.962973380964,0.967007400894,0.965546004513,0.974466325983,0.979340192032,0.977144960514,0.978354062336,0.973472890551,0.973116710682
BROOKFIELD,0.972458143375,0.976161421305,0.979450073304,0.982112967977,0.982911862957,0.982287688797,0.982398968915,0.980314794004,0.984709140301,0.982975734207,0.985600637678,0.983657699198,0.98425299729,0.98283383485
BROOKLYN,0.9668451702,0.968331686183,0.962571483674,0.960904617128,0.968092211632,0.956015386093,0.948130575688,0.937227883217,0.938513239467,0.939400827104,0.937361817522,0.950475332058,0.971735785832,0.973106019044
BURLINGTON,0.964027583915,0.967193184721,0.981075312423,0.979729865775,0.978805840662,0.975024372513,0.968850459458,0.968505178718,0.973677659111,0.972760795819,0.977478606127,0.978254149704,0.978517673316,0.978072371962
CANAAN,0.963241089596,0.97209587532,0.979321385373,0.979777701043,0.984683164129,0.985777535864,0.989493155548,0.980608245115,0.97875022803,0.973257410592,0.974254620643,0.973514028239,0.969830916544,0.96423807518
CANTERBURY,0.905812417047,0.912022350559,0.949503606831,0.958835577657,0.961695125508,0.975304050782,0.96720092068,0.958534810273,0.956982177822,0.954802104137,0.960030431168,0.949299437258,0.958377435879,0.965523229331
CANTON,0.94915494995,0.951298559616,0.956524782041,0.956325833816,0.960402034449,0.969384440789,0.974243235645,0.973227877453,0.970806400889,0.967029153581,0.970081863681,0.971247008619,0.969956224396,0.974472766812
CHAPLIN,0.957627440248,0.96339749169,0.961289653107,0.978321850394,0.974984089839,0.968832252776,0.969067225382,0.968715809123,0.978782347725,0.97915066104,0.964798265154,0.972205727378,0.968814465034,0.976486685984
CHESHIRE,0.977608796979,0.983708665316,0.988884921781,0.9949246015,0.995823203885,0.995682560411,0.995223692458,0.995418573159,0.996162836936,0.995433493001,0.995359777783,0.996279854902,0.997180663215,0.997254082543
CHESTER,0.982387254382,0.984606337874,0.983519727283,0.984571805015,0.981944649188,0.980893698921,0.980392245024,0.972941077733,0.974315798383,0.976762591259,0.980945864089,0.985251434128,0.979232715318,0.988462958118
CLINTON,0.980455896979,0.981583034656,0.989071755642,0.989120281449,0.989095721086,0.987450269786,0.984891329242,0.983507175024,0.984966912142,0.986144443561,0.981619626073,0.980987331904,0.977431496097,0.979348018344
COLCHESTER,0.95234163932,0.959933640633,0.960095608059,0.967153799101,0.963241722299,0.955939387995,0.954898919851,0.967118584902,0.957770602435,0.96419032072,0.960483981364,0.959788268934,0.957852630666,0.961555387315
COLEBROOK,0.916861986113,0.910677895218,0.949291036252,0.946597708201,0.959018512459,0.952182608902,0.959560689948,0.96886066401,0.969565935667,0.960316152303,0.952031844648,0.967241837274,0.971924707697,0.966196723453
COLUMBIA,0.9733063549,0.986857932326,0.986830277249,0.986211705316,0.987559647604,0.986203557296,0.981121567882,0.973806744307,0.969304900583,0.97745031308,0.968277332542,0.980698829029,0.980472048266,0.983036934661
CORNWALL,0.963327015782,0.962926171723,0.966795463867,0.971108945821,0.965204192685,0.96251909326,0.963588497441,0.963030116549,0.96072349778,0.954613059739,0.948303770569,0.951911060178,0.946792067487,0.931682742284
COVENTRY,0.961651230136,0.959964970462,0.965846736469,0.972062245822,0.96988468509,0.971056791616,0.969805182355,0.964178734043,0.962953481458,0.956664012392,0.954676391508,0.962637403388,0.968448358459,0.963630611152
