Municipality,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
ANDOVER,6448333.0,7156978.0,7536333.0,8381319.0,9136118.0,9291904.0,10741358.0,9920656.0,9691506.0,9885945.0,10178489.0,10532064.0,11010158.0,10654609.0
ANSONIA,42485212.0,43085986.0,45924355.0,48862080.0,50489528.0,52816370.0,63057989.0,57203675.0,57010349.0,60091435.0,60374860.0,65544136.0,63866446.0,63610501.0
ASHFORD,9451222.0,10136243.0,10480122.0,11048897.0,12110482.0,12888049.0,15206197.0,13579707.0,13627610.0,13992024.0,13933046.0,14635662.0,14457564.0,14704766.0
AVON,45048182.0,48985655.0,51606923.0,53705866.0,57587759.0,60098481.0,76896853.0,66917304.0,67761526.0,69814606.0,77584466.0,77657612.0,81014128.0,83241864.0
BARKHAMSTED,7893997.0,8340901.0,8524077.0,8702843.0,9053646.0,9682000.0,11040510.0,10467390.0,10307196.0,10396219.0,10524397.0,10874884.0,11429152.0,11590983.0
BEACON FALLS,12561598.0,12442180.0,13277277.0,14478449.0,15144204.0,16157980.0,16677796.0,17866375.0,17924817.0,17955715.0,18881175.0,19243334.0,19597961.0,20837294.0
BERLIN,49246251.0,50443804.0,50509814.0,54267876.0,58791912.0,62204634.0,75715807.0,67323986.0,67177138.0,69306749.0,73665280.0,74962416.0,78995047.0,80585094.0
BETHANY,13183641.0,13792258.0,14593807.0,15228435.0,16420767.0,17747299.0,19329336.0,20058750.0,20327253.0,20507631.0,20977192.0,21122240.0,21893677.0,22615263.0
BETHEL,43578771.0,46132958.0,48639540.0,50062478.0,54323509.0,56162029.0,68162769.0,61580957.0,61239489.0,63286545.0,65588401.0,68400169.0,71144751.0,71522070.0
BETHLEHEM,7281184.0,8009713.0,8208449.0,8266713.0,8646722.0,9050967.0,9511953.0,9385525.0,9261747.0,9091988.0,9229588.0,9186972.0,9392750.0,9440115.0
BLOOMFIELD,48251731.0,51865126.0,55640770.0,56551482.0,61313204.0,65006619.0,74679206.0,71609515.0,73112393.0,74056909.0,79905303.0,78697140.0,81835486.0,83823740.0
BOLTON,12825831.0,13512816.0,14017184.0,14517506.0,15671574.0,15920098.0,20232287.0,17958931.0,17989519.0,18127707.0,18821439.0,19323732.0,19767942.0,20393142.0
BOZRAH,5631476.0,5839329.0,5475195.0,5758313.0,6400713.0,7035994.0,7023940.0,7588499.0,7345993.0,7510118.0,7477622.0,7939442.0,8101182.0,8296328.0
BRANFORD,65514491.0,68388128.0,71758502.0,74789013.0,78220952.0,81058201.0,97788733.0,84909147.0,88349320.0,90797169.0,95394689.0,98778997.0,100416471.0,100724891.0
BRIDGEPORT,410632254.0,403400834.0,432983647.0,447886784.0,460218044.0,461485340.0,483962220.0,486192767.0,467902163.0,500020343.0,529381169.0,539766185.0,549445907.0,552219478.0
BRIDGEWATER,4903248.0,5187317.0,5428377.0,5773134.0,5813607.0,6247824.0,6520229.0,6873488.0,6597324.0,6960084.0,7168165.0,7143511.0,7182726.0,7113991.0
BRISTOL,111396000.0,113830000.0,113824000.0,119752000.0,129163000.0,137236000.0,174452000.0,151100000.0,146669000.0,149239000.0,156356000.0,152601000.0,158025000.0,191703769.0
BROOKFIELD,38185351.0,39042281.0,41267936.0,42722371.0,47965155.0,49477593.0,62744929.0,54026825.0,53001704.0,55839865.0,59127889.0,61276316.0,63289023.0,64263883.0
BROOKLYN,15385848.0,16111692.0,16730023.0,17338939.0,18479964.0,19307863.0,20187180.0,20776863.0,21151675.0,20941976.0,21370443.0,22005377.0,22696276.0,23138978.0
BURLINGTON,18888215.0,20258067.0,21266400.0,22685950.0,25568820.0,25892422.0,27007466.0,29405137.0,29183629.0,30426135.0,30755494.0,30138002.0,31589407.0,33395370.0
CANAAN,3353301.0,3708087.0,3898238.0,3844072.0,4150641.0,4317152.0,4604123.0,4123159.0,4127686.0,4220693.0,4612243.0,4609892.0,4507443.0,4803716.0
CANTERBURY,10761080.0,11340201.0,11568917.0,11979503.0,12704647.0,13141467.0,15600986.0,13880643.0,13742249.0,13757511.0,14022624.0,14731873.0,15042817.0,15229053.0
CANTON,22056051.0,23065607.0,24641017.0,26176446.0,28742911.0,30586090.0,39021107.0,33899533.0,33633334.0,34719667.0,35791201.0,35749286.0,36550907.0,37484596.0
CHAPLIN,5738704.0,5891939.0,5961035.0,6261316.0,6446394.0,6958950.0,7256578.0,7616724.0,7679833.0,7533079.0,7153357.0,7555898.0,8019549.0,8075534.0
CHESHIRE,74308256.0,76768113.0,78953381.0,80361312.0,85899413.0,89655280.0,92083761.0,96814093.0,96899377.0,100566833.0,103981303.0,104445838.0,107397596.0,110553307.0
CHESTER,8283780.0,8677565.0,9492995.0,10543296.0,10669734.0,11059627.0,11599729.0,11700744.0,12121077.0,12322991.0,12274609.0,12406318.0,12163571.0,12409189.0
CLINTON,31810720.0,33266158.0,34113645.0,35670346.0,38486345.0,40274853.0,50693984.0,44394439.0,44826157.0,46019910.0,48147882.0,48662198.0,49447666.0,50186309.0
COLCHESTER,35210022.0,38837714.0,40446903.0,41018422.0,44417907.0,47439990.0,48907109.0,50028793.0,48643210.0,50149192.0,53324825.0,53462248.0,56825708.0,56554639.0
COLEBROOK,3947045.0,4110985.0,4280413.0,4493287.0,4650904.0,4914337.0,5691561.0,5488981.0,5349388.0,5598043.0,5616622.0,5502576.0,5536545.0,5800842.0
COLUMBIA,11119107.0,11630645.0,12260206.0,12966638.0,14002472.0,15012892.0,18534201.0,16316545.0,15457273.0,15158568.0,15746747.0,15652886.0,16390351.0,16306516.0
CORNWALL,4182627.0,4476644.0,4608620.0,5024292.0,5317885.0,5577677.0,6346657.0,5923353.0,5981198.0,5774182.0,5911165.0,6067883.0,6134907.0,6140432.0
COVENTRY,25848440.0,26831718.0,28366808.0,29778177.0,32051739.0,33062631.0,42051173.0,37652013.0,36418782.0,37502062.0,39287534.0,40107857.0,41570012.0,41839606.0
CROMWELL,27061703.0,29093073.0,30523144.0,33281783.0,36345636.0,38354384.0,47045789.0,42828472.0,42786330.0,43732539.0,45433565.0,45608033.0,46709360.0,48642425.0
DANBURY,146199834.0,152969405.0,160649709.0,166837706.0,177260361.0,181531008.0,203282937.0,208343359.0,209804077.0,215554633.0,226562781.0,233930911.0,239563620.0,246091312.0
DARIEN,66910988.0,69933380.0,74780079.0,79593554.0,90251706.0,93516587.0,121408510.0,108105979.0,111849775.0,116552529.0,123251530.0,128079499.0,136227867.0,140842202.0
DEEP RIVER,10651407.0,11572569.0,12346563.0,13181324.0,13701889.0,14264379.0,14801779.0,15024146.0,14298261.0,14552244.0,15754287.0,16031505.0,16370102.0,16123129.0
