Municipality,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
ANDOVER,6589669.0,7153112.0,7763357.0,8003762.0,8920708.0,10400028.0,11242906.0,10404226.0,10158446.0,9940515.0,10451841.0,10927830.0,10928616.0,11041322.0
ANSONIA,42275638.0,42688960.0,45560041.0,48601938.0,50750567.0,53732113.0,63693255.0,58164892.0,57791187.0,59512462.0,60502603.0,65567716.0,67160046.0,66599366.0
ASHFORD,10005843.0,10722599.0,10719851.0,11435504.0,12458209.0,13390922.0,15701866.0,14017178.0,14031472.0,13975187.0,14422540.0,14608189.0,14993735.0,15007838.0
AVON,46564597.0,50247496.0,53323960.0,55020103.0,59547577.0,62365447.0,79648987.0,68440549.0,68466476.0,73134382.0,79568080.0,80754044.0,84909300.0,85264641.0
BARKHAMSTED,7897964.0,8323419.0,8989809.0,9266114.0,9630161.0,9952079.0,11359764.0,10474015.0,10315687.0,10432168.0,10688900.0,11122940.0,11435286.0,11781212.0
BEACON FALLS,11991066.0,12792439.0,13018826.0,14538333.0,15057053.0,15983969.0,16470685.0,17773041.0,17537157.0,17832315.0,19057733.0,19728537.0,20537046.0,20924327.0
BERLIN,50547009.0,51556432.0,50856897.0,56399617.0,60877106.0,64085370.0,77805572.0,67564026.0,67266980.0,70616679.0,75213076.0,77058458.0,79841221.0,80300240.0
BETHANY,14200492.0,14515598.0,14864838.0,15848542.0,17496312.0,18440138.0,19515310.0,20485162.0,20822855.0,20844556.0,21332188.0,22060185.0,22710966.0,22899209.0
BETHEL,46139912.0,47801027.0,49716686.0,51337555.0,54668918.0,57255342.0,69170956.0,62695305.0,61871861.0,63780825.0,68326365.0,70858954.0,74729636.0,74469096.0
BETHLEHEM,7460756.0,7925645.0,8478722.0,8300713.0,9019756.0,9616589.0,10149423.0,10115801.0,10089587.0,10104836.0,10207024.0,10319687.0,10283754.0,10203582.0
BLOOMFIELD,50206002.0,53148245.0,53930390.0,58490930.0,63712182.0,68045506.0,79394745.0,74559314.0,74327375.0,76197584.0,80049238.0,85085106.0,85402840.0,85119505.0
BOLTON,13141416.0,13920251.0,14093086.0,14580832.0,15883721.0,16717158.0,20753014.0,17934070.0,18302638.0,18848573.0,19739348.0,20066210.0,20429001.0,20759488.0
BOZRAH,5467677.0,5476836.0,5285878.0,5946217.0,6697612.0,7315470.0,7035787.0,7143311.0,7054131.0,7322656.0,7788433.0,7665514.0,8235484.0,8195143.0
BRANFORD,68370378.0,71471916.0,72993959.0,77022720.0,82364463.0,86362652.0,101942061.0,91190384.0,91623457.0,94417926.0,98559752.0,103895497.0,105095586.0,106885659.0
BRIDGEPORT,393500808.0,394972681.0,424015378.0,436184616.0,454094605.0,461411919.0,464326216.0,484340418.0,472291637.0,500218709.0,525041173.0,539075595.0,552115914.0,552294012.0
BRIDGEWATER,5421017.0,5749783.0,5870398.0,5937388.0,6382715.0,6762439.0,6934709.0,6808881.0,6689005.0,6932977.0,7259541.0,7236796.0,7183973.0,7119691.0
BRISTOL,125797000.0,130048000.0,140326000.0,149452000.0,161252000.0,165267000.0,204962000.0,179565000.0,178178000.0,183756000.0,190282000.0,195280000.0,198138000.0,207756973.0
BROOKFIELD,39760067.0,40494757.0,42357480.0,44360274.0,49397063.0,51713795.0,62499843.0,54741559.0,54098721.0,56171171.0,59944938.0,61032656.0,63929211.0,65038825.0
BROOKLYN,15711506.0,16115971.0,16560850.0,17032231.0,18098534.0,19231644.0,20584393.0,21342125.0,21428948.0,21376769.0,22021499.0,22935553.0,23262353.0,23172093.0
BURLINGTON,19523629.0,20704373.0,21976237.0,22924979.0,24983191.0,26130043.0,27580666.0,29613948.0,29566991.0,30129382.0,31441626.0,31330297.0,32302479.0,33730465.0
CANAAN,3521045.0,3514937.0,3736717.0,3901314.0,4215614.0,4364375.0,4863835.0,4312000.0,4235861.0,4354526.0,4723354.0,4719378.0,4640937.0,4890219.0
CANTERBURY,11476771.0,11341669.0,11830254.0,12593101.0,13091016.0,13762196.0,16019816.0,14448522.0,14068360.0,14404565.0,14711118.0,14971257.0,15466083.0,15275538.0
CANTON,22373689.0,23507568.0,25501643.0,26879936.0,29856225.0,32094109.0,40485804.0,35387073.0,34670508.0,35488869.0,38058514.0,37164314.0,38157294.0,39703562.0
CHAPLIN,5476778.0,5751197.0,6181068.0,6577524.0,6666063.0,7129482.0,7441199.0,7678158.0,7950049.0,7984911.0,7925420.0,8042800.0,7990607.0,8333534.0
CHESHIRE,75266691.0,76817704.0,79329154.0,80913485.0,87594977.0,91481164.0,94977279.0,96524388.0,96519779.0,102036525.0,103062041.0,105019133.0,107166756.0,110593641.0
CHESTER,9356892.0,9027749.0,9656365.0,10389674.0,10798296.0,11117134.0,11658418.0,12115914.0,12271177.0,12640721.0,12600561.0,13182052.0,12832691.0,12560273.0
CLINTON,34645343.0,34657923.0,35493701.0,36837722.0,40791942.0,42707544.0,53305221.0,45547139.0,47289809.0,48092673.0,49723025.0,50047900.0,51097320.0,51449628.0
COLCHESTER,35801223.0,39948008.0,41095045.0,42498361.0,45128949.0,46878639.0,49025836.0,49427283.0,48331453.0,50665236.0,54641781.0,55054432.0,57442798.0,58053271.0
