Municipality,Net Grand List - 2012 GL Year,Town Code,Numbered
"ANDOVER",258994445.0000,1,1
"ANSONIA",892673611.0000,2,2
"ASHFORD",295376144.0000,3,3
"AVON",2688826620.0000,4,4
"BARKHAMSTED",374882562.0000,5,5
"BEACON FALLS",472457962.0000,6,6
"BERLIN",2155657751.0000,7,7
"BETHANY",620166763.0000,8,8
"POMFRET",358044798.0000,112,113
"PORTLAND",795869961.0000,113,114
"PRESTON",381825751.0000,114,115
"PROSPECT",806651649.0000,115,116
"WOODBURY",1237661106.0000,168,169
"WOODSTOCK",667366070.0000,169,170
"BETHEL",1852145585.0000,9,9
"BETHLEHEM",407011169.0000,10,10
"BLOOMFIELD",2031708687.0000,11,11
"BOLTON",480891802.0000,12,12
"BOZRAH",215585700.0000,13,13
"BRANFORD",3486675562.0000,14,14
"BRIDGEPORT",7110904657.0000,15,15
"BRIDGEWATER",387086614.0000,16,16
"BRISTOL",3773177053.0000,17,17
"BROOKFIELD",2181612178.0000,18,18
"BROOKLYN",531868925.0000,19,19
"BURLINGTON",941466651.0000,20,20
"CANAAN",170020565.0000,21,21
"CANTERBURY",383275877.0000,22,22
"CANTON",1135939550.0000,23,23
"CHAPLIN",171883425.0000,24,24
"CHESHIRE",2881617644.0000,25,25
"CHESTER",501227540.0000,26,26
"CLINTON",1499396462.0000,27,27
"COLCHESTER",1191172264.0000,28,28
"COLEBROOK",184993030.0000,29,29
"COLUMBIA",463992644.0000,30,30
"CORNWALL",393024930.0000,31,31
"COVENTRY",994034405.0000,32,32
"CROMWELL",1255940643.0000,33,33
"DANBURY",6827106602.0000,34,34
"DARIEN",8891650290.0000,35,35
"DEEP RIVER",488069153.0000,36,36
"DERBY",744835102.0000,37,37
"DURHAM",737429530.0000,38,38
"EAST GRANBY",590727726.0000,40,39
"EAST HADDAM",843905515.0000,41,40
"EAST HAMPTON",1127504483.0000,42,41
"EAST HARTFORD",2688831662.0000,43,42
"EAST HAVEN",1974186731.0000,44,43
"EAST LYME",2050119208.0000,45,44
"EAST WINDSOR",929988582.0000,47,45
"EASTFORD",164465448.0000,39,46
"EASTON",1323625353.0000,46,47
"ELLINGTON",1271301727.0000,48,48
"ENFIELD",2845323647.0000,49,49
"ESSEX",1119610296.0000,50,50
"FAIRFIELD",10889060051.0000,51,51
"FARMINGTON",3475173670.0000,52,52
"FRANKLIN",215037865.0000,53,53
"GLASTONBURY",3808546358.0000,54,54
"GOSHEN",518007170.0000,55,55
"GRANBY",954011490.0000,56,56
"GREENWICH",30824749610.0000,57,57
"GRISWOLD",695610176.0000,58,58
"GROTON",3868863246.0000,59,59
"GROTON (City of)",,,60
"GUILFORD",3493861794.0000,60,61
"HADDAM",899845277.0000,61,62
"HAMDEN",4062588948.0000,62,63
"HAMPTON",155670037.0000,63,64
"HARTFORD",3484646856.0000,64,65
"HARTLAND",195097545.0000,65,66
"HARWINTON",564695831.0000,66,67
"HEBRON",772648505.0000,67,68
"KENT",671859145.0000,68,69
"KILLINGLY",1336287490.0000,69,70
"KILLINGWORTH",713809345.0000,70,71
"LEBANON",675482689.0000,71,72
"LEDYARD",1108546974.0000,72,73
"LISBON",368210844.0000,73,74
"LITCHFIELD",1110140980.0000,74,75
"LYME",608491084.0000,75,76
"MADISON",3457789924.0000,76,77
"MANCHESTER",3908022444.0000,77,78
"MANSFIELD",1011715713.0000,78,79
"MARLBOROUGH",567632905.0000,79,80
"MERIDEN",3218470206.0000,80,81
"MIDDLEBURY",927388544.0000,81,82
"MIDDLEFIELD",403493320.0000,82,83
"MIDDLETOWN",3573042211.0000,83,84
"MILFORD",6440527586.0000,84,85
"MONROE",2307984642.0000,85,86
"MONTVILLE",1241891661.0000,86,87
"MORRIS",353616808.0000,87,88
"NAUGATUCK",1566229089.0000,88,89
"NEW BRITAIN",2441301264.0000,89,90
"NEW CANAAN",8299347038.0000,90,91
"NEW FAIRFIELD",1687072376.0000,91,92
"NEW HARTFORD",715256311.0000,92,93
"NEW HAVEN",6077165950.0000,93,94
"NEW LONDON",1569776194.0000,95,95
